#          chi2            h           Omegam           OmegaK          
        1347.43        0.745736        0.962293       -0.144278 
        1337.15        0.742634        0.980231        -0.13449 
        1114.68        0.734741        0.933509        -0.12109 
        1037.87        0.740996        0.881235       -0.202382 
        826.367        0.733903        0.874427       -0.292319 
        604.113        0.723827         0.81156       -0.255711 
         400.69        0.716917        0.791582        -0.37602 
        370.472        0.708458        0.793705       -0.298731 
        367.963        0.708553        0.804333       -0.326592 
         320.11        0.702982        0.805382       -0.323928 
        281.306        0.703327         0.75259       -0.282516 
        209.987        0.693668        0.768845       -0.323614 
        117.496        0.690022        0.714631       -0.396971 
        96.8912        0.680569        0.718677       -0.416299 
        64.3238         0.68348        0.623607       -0.434682 
        60.2568        0.684227        0.593459       -0.387442 
        61.5777        0.687566        0.641618       -0.483083 
        59.5928        0.692481        0.649113       -0.523153 
        53.6011        0.691648        0.565988       -0.543413 
        52.9662        0.690329        0.608819       -0.542295 
        45.5677        0.698362        0.616927       -0.654265 
        44.3899        0.705422        0.621374        -0.66221 
        46.2653        0.702861         0.62785       -0.640569 
        39.8258        0.701984        0.557553       -0.591314 
        37.5736        0.706574        0.560405       -0.611757 
         39.247        0.702739        0.569508       -0.584211 
        41.0247        0.698477        0.557862        -0.53166 
        41.2174        0.697539        0.554232       -0.491013 
        36.3741        0.708444        0.473423       -0.514212 
        34.7457         0.71444        0.464165       -0.506014 
         35.966        0.707731        0.518711       -0.569007 
        35.4822        0.704694         0.48575       -0.480559 
        35.6017        0.704625        0.517621       -0.496824 
        36.8061        0.715363        0.484875       -0.510039 
        36.7801        0.712772        0.518715       -0.556672 
        35.4967        0.712351        0.506864       -0.579909 
        36.0703        0.706044        0.488393       -0.509579 
        36.7153        0.707236        0.460635       -0.483069 
        37.0263        0.699845        0.509575       -0.422249 
        37.2868        0.708726        0.458473       -0.345561 
        34.3158        0.709689        0.406495        -0.26641 
         33.212        0.706781        0.413927       -0.260232 
        33.2959         0.70011         0.39464       -0.242005 
        32.2393        0.708914        0.337443       -0.217844 
        30.8563        0.708553        0.373299       -0.240928 
        35.0095        0.708622        0.399389       -0.228687 
        31.0297        0.708065        0.340843       -0.199655 
         30.576        0.704724        0.363975        -0.20529 
        30.5019        0.706097        0.364923       -0.216428 
